C-404,Ideology of Pak (DS-C) 08:30-10:15,,,,,,Fund of SE (CY-C),,,S/w Req Engg (SE-C) ReSch,,,"OOP (CS-A, 22)",,,"OOP (CS-B, 22)",,,,,,
C-405,Data St (SE-A),,,Data St (CS-F),,,DLD (CY-D),,,Fund of SE (CY-D),,,DLD (CY-C),,,,,,,,,
C-406,LA (SE-F),,,LA (SE-G),,,HCI (SE-A),,,S/w Req Engg (SE-A),,,Fund of Mgt (SE-A),,,,,,,,,
C-407,SE,,,Data St (SE-B),,,S/w Req Engg (SE-B),,,HCI (SE-B),,,Mktg Mgt (CS-C),,,Mktg Mgt (SE-C),,,,,,
C-408,HCI (SE-C),,,S/w Req Engg (SE-C),,,Data St (SE-C),,,Data St (SE-D),,,Freelancing (CS-C),,,,,,,,,
C-409,S/w Req Engg (SE-D),,,HCI (SE-D),,,TBW (CS-B/Z),,,Automata (CS-D),,,"OS (CS-A,21)",,,"OS (CS-B,21)",,,,,,
C-410,Comp Net (CS-E),,,SDA (CS-E),,,Automata (CS-C),,,SDA (CS-A),,,PPIT (DS-N),,,"DB (CS-D,21)",,,,,,
B-130,SDA (CS-C),,,Data St (SE-F) ReSch,,,Comp Net (CS-A/Y),,,,,,,,,Deep Learn (DS-N),,,,,,
B-227,Automata (CS-A),,,Automata (CS-Y),,,SDA (CS-D),,,SDA (CS-Y),,,"Diff Eq (D, 22)",,,"Diff Eq (E, 22)",,,,,,
B-229,TBW (CS-G),,,Stat & Modeling (CS-B),,,Robo Tech (CS-Robo),,,Stat & Modeling (CS-Z),,,,,,,,,,,,
B-230,Stat & Modeling (CS-H),,,AI (CS-A),,,Fund of SE (CY-A) ReSch,,,,,,,,,,,,,,,
A-108,Algo (DS-M),,,Algo (DS-N),,,MLOPs (AI-JK),,,Blockchain & Crypto (AI-JK),,,Comp Vision (AI-J),,,Comp Vision (AI-K),,,,,,
